timestamp,asset,quantity,usd_amount,from_account,to_account,from_address,to_address,from_team,to_team,status,user,source
29/12/2025 9:59,USDC,18872.1,18872.1,binance-892,fireblocks-vault-6,INTERNAL,0x45f9e2c0176963851a9843f03fcc41762838a56b,main,funding,completed,jane.smith,fireblocks
29/12/2025 15:26,USDT,27485.33,27485.33,kucoin,binance,INTERNAL,INTERNAL,derivatives,fx,completed,jane.smith,cex_direct
29/12/2025 19:28,ADA,482.0206,221620.63,binance-382,kucoin-789,INTERNAL,INTERNAL,derivatives,fx,completed,jane.smith,cex_tools
30/12/2025 10:21,BTC,3.10071374,114010.13,kraken-456,binance-892,INTERNAL,INTERNAL,derivatives,main,completed,jane.smith,cex_tools
30/12/2025 10:38,USDT,33637.32,33637.32,kucoin,fireblocks-vault-3,EXCHANGE_WITHDRAWAL,0xfb50c5edcd171d563309f81b9cb6d499e97b7ce3,fx,main,completed,john.doe,fireblocks
30/12/2025 14:39,ADA,462.5425,26049.51,external_wallet,binance-382,0xa9b40592a85f8c80d065b513a19c255adaf722bf,EXCHANGE_DEPOSIT,derivatives,fx,completed,john.doe,manual
30/12/2025 17:36,AVAX,246.2991,48889.67,binance-892,kraken-456,INTERNAL,INTERNAL,fx,fx,completed,john.doe,cex_tools
31/12/2025 2:55,USDC,47529.4,47529.4,binance-451,fireblocks-vault-2,INTERNAL,0xd2ae9feb47eae46ec521c650f477e9272c3aeb11,derivatives,funding,completed,alex.wong,fireblocks
31/12/2025 8:27,USDC,1094.41,1094.41,kucoin-789,fireblocks-vault-10,INTERNAL,0x32bed509ecddf5f61422fcfa2fbec3924b2bff6f,main,fx,completed,alex.wong,fireblocks
31/12/2025 10:21,ETH,2.95197385,7262.09,binance-451,external_wallet,EXCHANGE_WITHDRAWAL,0x3a39b4f0de3936acc363a1e0556d6827f1903ef6,funding,funding,completed,mike.jones,manual
31/12/2025 14:10,BTC,2.29684476,137668.69,binance-892,binance,INTERNAL,INTERNAL,derivatives,main,completed,alex.wong,cex_tools
31/12/2025 14:22,USDT,46669.64,46669.64,binance,binance-451,INTERNAL,INTERNAL,funding,derivatives,completed,sarah.chen,cex_tools
31/12/2025 15:18,ADA,492.3185,81771.45,fireblocks-vault-4,binance-451,0x41375ab29cf25cba45a577c71a14de3babedad9c,INTERNAL,main,derivatives,completed,fireblocks_auto,fireblocks
31/12/2025 15:21,USDT,37008.8,37008.8,fireblocks-vault-2,binance-451,0x045422786051956461eef9262471667143a9314f,INTERNAL,funding,derivatives,completed,john.doe,fireblocks
31/12/2025 19:11,ETH,1.45628463,4681.51,kraken-456,fireblocks-vault-8,INTERNAL,0x6d023bcd4a4efdaf0d2096813bb3ed22941a90cf,funding,main,completed,alex.wong,fireblocks
31/12/2025 19:36,XRP,706.5045,216350.9,kucoin-789,kucoin,INTERNAL,INTERNAL,fx,funding,completed,mike.jones,cex_tools
31/12/2025 19:43,ADA,633.1512,17570.53,fireblocks-vault-10,kraken-456,0x138699c6e49690f1ca413826b7044d134c9c3132,INTERNAL,fx,main,completed,john.doe,fireblocks
31/12/2025 23:26,SOL,932.4385,49129.87,kraken,kraken-123,INTERNAL,INTERNAL,fx,funding,completed,lisa.park,cex_tools
1/1/2026 3:46,ADA,161.1536,6883.67,fireblocks-vault-4,binance-892,0x86ada1bbd016794bb1bb2f8cb22c4ec0c41b9175,INTERNAL,fx,derivatives,completed,jane.smith,fireblocks
1/1/2026 7:24,XRP,687.5242,284243.53,binance-892,fireblocks-vault-8,INTERNAL,0xe9e8c1ae80fa66db6f7c5ced964ce19840b08863,funding,derivatives,completed,john.doe,fireblocks
1/1/2026 8:22,MATIC,481.4696,114906.02,external_wallet,binance-451,0x6b72d0e7afa0eaf6ed541a6cbb935b28ad011734,EXCHANGE_DEPOSIT,main,main,completed,sarah.chen,manual
1/1/2026 9:23,SOL,828.1228,288801.3,fireblocks-vault-6,binance-892,0x1358a4f067b37c20df2d5aa94d01e72ed50729d6,INTERNAL,funding,funding,completed,system,fireblocks
1/1/2026 19:06,XRP,163.8934,23206.71,binance-892,binance-451,INTERNAL,INTERNAL,fx,fx,completed,alex.wong,cex_tools
1/1/2026 20:40,ETH,2.7409391,7362.14,fireblocks-vault-1,kraken-456,0x6189b6e894c79cdf5628eb7301197fc1bea7f40d,INTERNAL,derivatives,derivatives,completed,system,fireblocks
2/1/2026 5:08,MATIC,565.2978,32123.09,kucoin-789,kucoin,INTERNAL,INTERNAL,main,fx,completed,alex.wong,cex_tools
2/1/2026 7:25,BNB,379.4687,117369.59,kraken,fireblocks-vault-8,EXCHANGE_WITHDRAWAL,0x0860b848b6f2e83945c1f73b4d1fa0667ab1da5f,main,fx,completed,system,fireblocks
