timestamp,asset,quantity,usd_amount,from_account,to_account,status,user
29/12/2025 19:28,ADA,482.0206,221620.63,binance-382,kucoin-789,completed,jane.smith
30/12/2025 0:24,ETH,2.97922518,9497.86,binance-382,kucoin-789,completed,mike.jones
30/12/2025 10:21,BTC,3.10071374,114010.13,kraken-456,binance-892,completed,jane.smith
30/12/2025 17:36,AVAX,246.2991,48889.67,binance-892,kraken-456,completed,john.doe
31/12/2025 14:10,BTC,2.29684476,137668.69,binance-892,binance,completed,alex.wong
31/12/2025 14:22,USDT,46669.64,46669.64,binance,binance-451,completed,sarah.chen
31/12/2025 19:36,XRP,706.5045,216350.9,kucoin-789,kucoin,completed,mike.jones
31/12/2025 23:26,SOL,932.4385,49129.87,kraken,kraken-123,completed,lisa.park
1/1/2026 19:06,XRP,163.8934,23206.71,binance-892,binance-451,completed,alex.wong
1/1/2026 19:08,XRP,493.6465,223504.83,binance,binance-892,completed,alex.wong
2/1/2026 3:31,BTC,0.02769299,1408.04,binance-892,binance-451,completed,mike.jones
2/1/2026 5:08,MATIC,565.2978,32123.09,kucoin-789,kucoin,completed,alex.wong
2/1/2026 18:59,ADA,556.9998,120013.17,binance-892,binance-382,completed,jane.smith
3/1/2026 4:42,USDC,33379.98,33379.98,kraken-456,kraken-123,pending,lisa.park
3/1/2026 7:11,USDT,46295.61,46295.61,binance-451,binance-892,completed,john.doe
3/1/2026 15:45,USDT,36854.57,36854.57,kraken-123,binance-451,completed,lisa.park
3/1/2026 18:33,ETH,1.9188832,3064.09,binance-451,kraken-456,completed,jane.smith
3/1/2026 21:12,USDC,1280.86,1280.86,binance-892,kraken-123,completed,alex.wong
4/1/2026 4:39,AVAX,645.0669,129296.9,kucoin-789,kucoin,completed,john.doe
4/1/2026 5:39,SOL,186.7821,89899.09,binance-382,kucoin-789,completed,lisa.park
4/1/2026 10:18,AVAX,442.0299,217537.81,kraken-456,binance-451,completed,lisa.park
4/1/2026 14:44,MATIC,11.6744,5403.64,kucoin-789,binance-451,completed,john.doe
4/1/2026 16:24,AVAX,626.9239,208157.76,binance-892,kucoin-789,completed,sarah.chen
5/1/2026 0:39,AVAX,408.3764,60656.94,kraken-123,kraken-456,completed,jane.smith
5/1/2026 7:16,ADA,573.4142,116765.2,kraken,kraken-456,completed,mike.jones
5/1/2026 9:32,ADA,658.1586,153370.11,binance-451,kucoin-789,completed,lisa.park
5/1/2026 9:40,USDT,32976.65,32976.65,kucoin-789,kraken-456,completed,jane.smith
5/1/2026 10:35,SOL,232.3943,23324.45,binance-451,kraken-456,completed,john.doe
5/1/2026 12:41,BNB,420.2966,132499.73,kucoin-789,kraken-123,completed,jane.smith
5/1/2026 16:17,USDT,32837.29,32837.29,binance-382,kraken-456,completed,lisa.park
5/1/2026 21:48,XRP,469.9044,131171.69,binance-451,binance,completed,sarah.chen
6/1/2026 1:16,XRP,988.0135,294557.16,kraken-456,kraken,completed,mike.jones
6/1/2026 4:32,BNB,898.236,334219.3,binance-892,binance-451,completed,alex.wong
6/1/2026 11:25,XRP,489.751,58958.03,kucoin-789,binance-892,completed,alex.wong
6/1/2026 11:27,AVAX,894.0966,36844.16,kraken-123,binance-451,completed,john.doe
6/1/2026 14:25,MATIC,413.5234,112380.34,binance-451,kraken-456,completed,mike.jones
7/1/2026 3:56,BTC,4.28509284,216927.61,binance-382,kraken-123,completed,sarah.chen
8/1/2026 3:51,MATIC,542.8384,199537.84,binance,binance-451,completed,sarah.chen
8/1/2026 10:17,BNB,38.7346,6535.64,kraken-123,binance-451,completed,jane.smith
8/1/2026 10:30,ADA,538.7824,244368.8,kucoin-789,binance-382,completed,sarah.chen
10/1/2026 8:22,USDT,43355.88,43355.88,binance-892,kraken-456,completed,sarah.chen
10/1/2026 18:25,AVAX,344.1255,151394.69,kraken-123,binance-892,completed,sarah.chen
11/1/2026 6:33,BTC,3.74763106,82760.53,binance-892,binance,completed,lisa.park
11/1/2026 8:12,BTC,3.77362369,218811.57,binance-382,kucoin-789,completed,jane.smith
11/1/2026 12:29,BNB,672.7643,190002.65,kucoin-789,binance-892,completed,jane.smith
11/1/2026 18:39,ADA,611.175,228710.79,binance-451,kraken-123,completed,john.doe
12/1/2026 23:28,SOL,580.0388,263398.55,kucoin-789,binance-451,completed,lisa.park
13/1/2026 4:05,USDC,5184.88,5184.88,kucoin,kucoin-789,completed,mike.jones
13/1/2026 6:15,BTC,1.74254679,64709.69,kraken-456,binance-892,completed,sarah.chen
13/1/2026 22:25,BNB,114.4835,55001.65,kraken-123,binance-451,completed,lisa.park
14/1/2026 21:18,XRP,965.819,131130.32,kucoin,kucoin-789,completed,lisa.park
14/1/2026 22:17,ADA,275.7116,117454.48,binance,binance-451,completed,jane.smith
16/1/2026 0:09,BNB,574.1511,192011.08,kraken-123,binance-892,completed,jane.smith
16/1/2026 0:28,AVAX,799.854,136638.33,kucoin,kucoin-789,completed,mike.jones
16/1/2026 6:55,USDC,4372.09,4372.09,kraken,kraken-123,completed,lisa.park
16/1/2026 21:09,BNB,453.6928,4357.44,kraken-123,binance-451,completed,mike.jones
17/1/2026 0:26,AVAX,478.5279,127254.95,kucoin-789,kraken-456,completed,lisa.park
17/1/2026 1:41,BNB,278.2073,35179.43,binance-451,kraken-123,completed,mike.jones
17/1/2026 6:45,USDT,9657.89,9657.89,kraken,kraken-456,failed,jane.smith
17/1/2026 16:02,SOL,235.2083,21296.07,kraken-456,binance-451,completed,john.doe
17/1/2026 17:42,XRP,299.2153,141259.76,kraken-123,binance-382,completed,mike.jones
17/1/2026 20:25,SOL,474.703,104811.54,binance-382,kraken-123,completed,sarah.chen
18/1/2026 8:25,ETH,4.11235707,10288.17,kucoin-789,binance-382,completed,mike.jones
